wavelength,Styrene,NO2,NO2+Styrene,12h,24h
nm,,,,,
350,0.005,3.564,3.084,1.87,0.97
351,0.005,2.723,2.789,2.278,0.923
352,0.005,2.954,3.765,2.215,0.885
353,0.006,2.647,3.366,2.32,0.84
354,0.006,3.261,3.271,2.646,0.829
355,0.003,3.601,3.717,2.03,0.792
356,0.005,3.246,3.591,1.783,0.743
357,0.006,3.006,2.83,1.839,0.726
358,0.007,2.423,3.161,1.9,0.696
359,0.006,3.355,3.604,1.863,0.664
360,0.008,3.1,3.026,2.548,0.648
361,0.005,3.341,3.242,1.568,0.618
362,0.008,3.199,2.78,1.577,0.595
363,0.008,3.361,2.829,1.736,0.586
364,0.01,2.281,2.839,1.599,0.558
365,0.004,2.028,2.702,1.441,0.517
366,0.005,2.158,2.59,1.269,0.484
367,0.005,2.017,2.203,1.257,0.47
368,0.002,1.954,2.157,1.216,0.454
369,0.001,1.952,2.109,1.18,0.439
370,0.002,1.861,2.243,1.15,0.429
371,0.003,1.794,2.165,1.11,0.416
372,0.002,1.717,2.102,1.076,0.404
373,0.002,1.639,1.997,1.045,0.395
374,0,1.575,2.127,1.008,0.388
375,0.001,1.48,1.99,0.985,0.378
376,0.001,1.404,1.945,0.954,0.372
377,0.001,1.328,1.807,0.921,0.362
378,0.003,1.24,1.714,0.893,0.354
379,0.001,1.179,1.625,0.864,0.348
380,0,1.096,1.546,0.84,0.339
381,0.001,1.024,1.463,0.81,0.334
382,0.001,0.946,1.361,0.784,0.329
383,0.001,0.867,1.277,0.757,0.322
384,0,0.805,1.199,0.734,0.316
385,0,0.74,1.115,0.707,0.311
386,0,0.678,1.023,0.686,0.304
387,-0.001,0.62,0.941,0.664,0.298
388,0,0.561,0.859,0.64,0.294
389,0,0.511,0.784,0.62,0.289
390,0.001,0.462,0.713,0.601,0.285
391,0,0.416,0.642,0.58,0.281
392,0,0.378,0.581,0.56,0.275
393,0.001,0.34,0.524,0.544,0.272
394,0,0.306,0.47,0.525,0.269
395,0,0.273,0.42,0.507,0.263
396,0,0.246,0.376,0.49,0.26
397,-0.001,0.22,0.335,0.476,0.256
398,0,0.195,0.297,0.46,0.253
