²¨³¤(nm)	RawData ...
500.00	-0.002
499.00	-0.002
498.00	-0.002
497.00	-0.002
496.00	-0.002
495.00	-0.002
494.00	-0.002
493.00	-0.002
492.00	-0.002
491.00	-0.002
490.00	-0.002
489.00	-0.002
488.00	-0.002
487.00	-0.002
486.00	-0.002
485.00	-0.002
484.00	-0.002
483.00	-0.002
482.00	-0.002
481.00	-0.002
480.00	-0.002
479.00	-0.002
478.00	-0.002
477.00	-0.002
476.00	-0.002
475.00	-0.002
474.00	-0.002
473.00	-0.002
472.00	-0.002
471.00	-0.002
470.00	-0.002
469.00	-0.002
468.00	-0.002
467.00	-0.002
466.00	-0.002
465.00	-0.002
464.00	-0.002
463.00	-0.002
462.00	-0.002
461.00	-0.001
460.00	-0.001
459.00	-0.002
458.00	-0.002
457.00	-0.001
456.00	-0.002
455.00	-0.001
454.00	-0.001
453.00	-0.001
452.00	-0.001
451.00	-0.001
450.00	-0.001
449.00	-0.001
448.00	-0.001
447.00	-0.001
446.00	-0.001
445.00	-0.001
444.00	-0.001
443.00	-0.001
442.00	-0.001
441.00	-0.001
440.00	-0.000
439.00	-0.000
438.00	-0.000
437.00	-0.000
436.00	0.000
435.00	0.000
434.00	0.000
433.00	0.000
432.00	-0.000
431.00	0.000
430.00	0.000
429.00	0.001
428.00	0.001
427.00	0.001
426.00	0.001
425.00	0.001
424.00	0.001
423.00	0.001
422.00	0.002
421.00	0.002
420.00	0.002
419.00	0.002
418.00	0.003
417.00	0.003
416.00	0.004
415.00	0.003
414.00	0.003
413.00	0.004
412.00	0.004
411.00	0.005
410.00	0.005
409.00	0.005
408.00	0.005
407.00	0.006
406.00	0.006
405.00	0.006
404.00	0.007
403.00	0.007
402.00	0.008
401.00	0.008
400.00	0.008
399.00	0.009
398.00	0.010
397.00	0.009
396.00	0.011
395.00	0.010
394.00	0.011
393.00	0.012
392.00	0.013
391.00	0.013
390.00	0.013
389.00	0.015
388.00	0.014
387.00	0.014
386.00	0.015
385.00	0.016
384.00	0.016
383.00	0.017
382.00	0.017
381.00	0.018
380.00	0.018
379.00	0.018
378.00	0.019
377.00	0.020
376.00	0.022
375.00	0.021
374.00	0.021
373.00	0.021
372.00	0.021
371.00	0.023
370.00	0.024
369.00	0.024
368.00	0.023
367.00	0.024
366.00	0.026
365.00	0.027
364.00	0.033
363.00	0.033
362.00	0.026
361.00	0.023
360.00	0.028
359.00	0.028
358.00	0.023
357.00	0.027
356.00	0.029
355.00	0.022
354.00	0.033
353.00	0.034
352.00	0.030
351.00	0.031
350.00	0.027
