s b1 a2 EDA 12h NOA
����(nm)	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
350.00	0.005	3.564	3.274	3.084	1.870	0.970
351.00	0.005	2.723	3.128	2.789	2.278	0.923
352.00	0.005	2.954	3.265	3.765	2.215	0.885
353.00	0.006	2.647	3.467	3.366	2.320	0.840
354.00	0.006	3.261	2.940	3.271	2.646	0.829
355.00	0.003	3.601	2.961	3.717	2.030	0.792
356.00	0.005	3.246	2.908	3.591	1.783	0.743
357.00	0.006	3.006	3.523	2.830	1.839	0.726
358.00	0.007	2.423	2.417	3.161	1.900	0.696
359.00	0.006	3.355	3.240	3.604	1.863	0.664
360.00	0.008	3.100	2.557	3.026	2.548	0.648
361.00	0.005	3.341	3.648	3.242	1.568	0.618
362.00	0.008	3.199	2.563	2.780	1.577	0.595
363.00	0.008	3.361	2.160	2.829	1.736	0.586
364.00	0.010	2.281	3.255	2.839	1.599	0.558
365.00	0.004	2.028	2.655	2.702	1.441	0.517
366.00	0.005	2.158	2.239	2.590	1.269	0.484
367.00	0.005	2.017	2.024	2.203	1.257	0.470
368.00	0.002	1.954	1.985	2.157	1.216	0.454
369.00	0.001	1.952	1.949	2.109	1.180	0.439
370.00	0.002	1.861	1.904	2.243	1.150	0.429
371.00	0.003	1.794	1.794	2.165	1.110	0.416
372.00	0.002	1.717	1.742	2.102	1.076	0.404
373.00	0.002	1.639	1.614	1.997	1.045	0.395
374.00	-0.000	1.575	1.561	2.127	1.008	0.388
375.00	0.001	1.480	1.467	1.990	0.985	0.378
376.00	0.001	1.404	1.387	1.945	0.954	0.372
377.00	0.001	1.328	1.276	1.807	0.921	0.362
378.00	0.003	1.240	1.213	1.714	0.893	0.354
379.00	0.001	1.179	1.134	1.625	0.864	0.348
380.00	-0.000	1.096	1.059	1.546	0.840	0.339
381.00	0.001	1.024	0.983	1.463	0.810	0.334
382.00	0.001	0.946	0.909	1.361	0.784	0.329
383.00	0.001	0.867	0.840	1.277	0.757	0.322
384.00	0.000	0.805	0.771	1.199	0.734	0.316
385.00	0.000	0.740	0.711	1.115	0.707	0.311
386.00	0.000	0.678	0.651	1.023	0.686	0.304
387.00	-0.001	0.620	0.589	0.941	0.664	0.298
388.00	0.000	0.561	0.536	0.859	0.640	0.294
389.00	0.000	0.511	0.487	0.784	0.620	0.289
390.00	0.001	0.462	0.439	0.713	0.601	0.285
391.00	-0.000	0.416	0.396	0.642	0.580	0.281
392.00	0.000	0.378	0.356	0.581	0.560	0.275
393.00	0.001	0.340	0.319	0.524	0.544	0.272
394.00	0.000	0.306	0.284	0.470	0.525	0.269
395.00	-0.000	0.273	0.253	0.420	0.507	0.263
396.00	0.000	0.246	0.226	0.376	0.490	0.260
397.00	-0.001	0.220	0.200	0.335	0.476	0.256
398.00	-0.000	0.195	0.177	0.297	0.460	0.253
399.00	-0.000	0.173	0.156	0.264	0.445	0.249
400.00	0.000	0.155	0.137	0.233	0.429	0.246
401.00	-0.001	0.137	0.120	0.204	0.415	0.242
402.00	-0.000	0.121	0.104	0.179	0.402	0.239
403.00	-0.001	0.106	0.090	0.155	0.389	0.236
404.00	-0.000	0.092	0.078	0.135	0.377	0.232
405.00	0.000	0.081	0.067	0.117	0.366	0.229
406.00	-0.000	0.072	0.056	0.101	0.355	0.226
407.00	0.000	0.061	0.046	0.085	0.344	0.223
408.00	-0.001	0.053	0.039	0.071	0.332	0.219
409.00	-0.000	0.046	0.032	0.060	0.322	0.216
410.00	-0.000	0.039	0.026	0.051	0.314	0.213
411.00	-0.000	0.034	0.021	0.042	0.304	0.210
412.00	-0.000	0.029	0.016	0.034	0.295	0.207
413.00	-0.000	0.025	0.012	0.027	0.287	0.204
414.00	-0.000	0.021	0.009	0.022	0.279	0.201
415.00	0.000	0.018	0.006	0.017	0.271	0.198
416.00	0.001	0.016	0.004	0.013	0.264	0.195
417.00	0.000	0.013	0.001	0.009	0.256	0.192
418.00	-0.001	0.011	-0.001	0.006	0.249	0.189
419.00	-0.000	0.009	-0.002	0.003	0.242	0.185
420.00	-0.000	0.008	-0.004	0.001	0.237	0.182
421.00	0.000	0.007	-0.005	-0.001	0.231	0.179
422.00	-0.000	0.006	-0.006	-0.002	0.225	0.176
423.00	-0.000	0.005	-0.007	-0.004	0.220	0.174
424.00	-0.000	0.005	-0.007	-0.005	0.215	0.171
425.00	-0.000	0.004	-0.007	-0.005	0.210	0.168
426.00	0.000	0.004	-0.008	-0.006	0.205	0.165
427.00	-0.001	0.003	-0.008	-0.007	0.201	0.162
428.00	0.000	0.003	-0.009	-0.007	0.196	0.159
429.00	-0.000	0.003	-0.009	-0.008	0.192	0.157
430.00	-0.001	0.003	-0.009	-0.008	0.188	0.154
431.00	-0.000	0.002	-0.009	-0.009	0.183	0.151
432.00	-0.000	0.002	-0.010	-0.009	0.180	0.149
433.00	-0.000	0.002	-0.010	-0.009	0.175	0.146
434.00	-0.000	0.002	-0.010	-0.010	0.171	0.144
435.00	-0.000	0.002	-0.010	-0.010	0.168	0.141
436.00	-0.000	0.002	-0.010	-0.010	0.164	0.139
437.00	-0.000	0.002	-0.010	-0.010	0.160	0.136
438.00	-0.000	0.002	-0.010	-0.010	0.157	0.134
439.00	-0.000	0.002	-0.010	-0.010	0.154	0.132
440.00	-0.000	0.002	-0.010	-0.010	0.150	0.129
441.00	-0.000	0.002	-0.010	-0.011	0.146	0.127
442.00	-0.000	0.001	-0.011	-0.011	0.143	0.125
443.00	0.000	0.001	-0.010	-0.011	0.140	0.123
444.00	-0.000	0.001	-0.010	-0.011	0.137	0.121
445.00	-0.000	0.001	-0.010	-0.011	0.134	0.120
446.00	-0.000	0.001	-0.011	-0.011	0.131	0.118
447.00	-0.000	0.001	-0.010	-0.011	0.128	0.116
448.00	-0.000	0.001	-0.011	-0.011	0.125	0.114
449.00	-0.000	0.001	-0.011	-0.011	0.122	0.113
450.00	-0.000	0.001	-0.011	-0.012	0.119	0.111
451.00	0.000	0.001	-0.011	-0.012	0.117	0.110
452.00	0.000	0.001	-0.011	-0.012	0.114	0.108
453.00	0.000	0.001	-0.011	-0.012	0.111	0.107
454.00	0.000	0.001	-0.010	-0.012	0.109	0.105
455.00	0.000	0.001	-0.011	-0.012	0.106	0.104
456.00	0.000	0.001	-0.011	-0.012	0.104	0.103
457.00	-0.000	0.001	-0.011	-0.012	0.101	0.101
458.00	-0.000	0.001	-0.011	-0.012	0.099	0.100
459.00	0.000	0.001	-0.011	-0.012	0.097	0.099
460.00	0.000	0.001	-0.011	-0.012	0.094	0.097
461.00	-0.000	0.001	-0.011	-0.012	0.092	0.096
462.00	-0.000	0.001	-0.011	-0.012	0.089	0.095
463.00	-0.000	0.001	-0.011	-0.012	0.087	0.094
464.00	-0.000	0.001	-0.011	-0.012	0.085	0.093
465.00	-0.000	0.001	-0.011	-0.012	0.083	0.092
466.00	0.000	0.001	-0.011	-0.012	0.081	0.091
467.00	-0.000	0.001	-0.011	-0.012	0.079	0.090
468.00	-0.000	0.001	-0.011	-0.012	0.077	0.089
469.00	-0.000	0.001	-0.011	-0.012	0.075	0.088
470.00	-0.000	0.001	-0.011	-0.013	0.073	0.087
471.00	-0.000	0.001	-0.011	-0.012	0.071	0.086
472.00	-0.000	0.001	-0.011	-0.013	0.069	0.085
473.00	-0.000	0.001	-0.011	-0.013	0.067	0.085
474.00	-0.000	0.001	-0.011	-0.012	0.066	0.084
475.00	-0.000	0.001	-0.011	-0.012	0.064	0.083
476.00	-0.000	0.001	-0.011	-0.012	0.063	0.083
477.00	-0.000	0.001	-0.011	-0.012	0.061	0.082
478.00	-0.000	0.001	-0.011	-0.012	0.059	0.082
479.00	-0.000	0.001	-0.011	-0.012	0.058	0.081
480.00	-0.000	0.001	-0.011	-0.012	0.057	0.081
481.00	-0.000	0.001	-0.011	-0.012	0.055	0.080
482.00	0.000	0.001	-0.011	-0.012	0.054	0.080
483.00	0.000	0.001	-0.010	-0.012	0.052	0.079
484.00	0.000	0.001	-0.010	-0.012	0.051	0.079
485.00	0.000	0.001	-0.010	-0.012	0.050	0.078
486.00	-0.000	0.001	-0.010	-0.012	0.049	0.078
487.00	0.000	0.002	-0.010	-0.012	0.047	0.078
488.00	0.000	0.002	-0.010	-0.012	0.046	0.077
489.00	0.000	0.001	-0.010	-0.012	0.045	0.077
490.00	0.000	0.001	-0.010	-0.012	0.044	0.077
491.00	0.000	0.002	-0.010	-0.012	0.043	0.076
492.00	0.000	0.002	-0.010	-0.012	0.042	0.076
493.00	0.000	0.002	-0.010	-0.012	0.041	0.076
494.00	0.000	0.002	-0.010	-0.012	0.040	0.075
495.00	0.000	0.002	-0.010	-0.012	0.039	0.075
496.00	0.000	0.002	-0.010	-0.012	0.038	0.075
497.00	0.000	0.002	-0.010	-0.012	0.037	0.074
498.00	-0.000	0.002	-0.010	-0.012	0.036	0.074
499.00	-0.000	0.002	-0.010	-0.012	0.035	0.074
500.00	0.000	0.002	-0.010	-0.012	0.034	0.073
