s no2 0.5h 12h NOC
����(nm)	RawData ...	RawData ...	RawData ...	RawData ...
500.00	-0.012	0.006	0.325	0.127
499.00	-0.012	0.006	0.330	0.127
498.00	-0.012	0.007	0.336	0.128
497.00	-0.012	0.007	0.343	0.129
496.00	-0.012	0.007	0.350	0.129
495.00	-0.012	0.007	0.358	0.130
494.00	-0.012	0.007	0.365	0.130
493.00	-0.012	0.007	0.373	0.131
492.00	-0.012	0.007	0.381	0.132
491.00	-0.012	0.008	0.390	0.132
490.00	-0.012	0.008	0.398	0.133
489.00	-0.012	0.008	0.407	0.134
488.00	-0.012	0.008	0.417	0.134
487.00	-0.012	0.008	0.426	0.135
486.00	-0.012	0.008	0.436	0.136
485.00	-0.012	0.009	0.446	0.137
484.00	-0.012	0.009	0.457	0.137
483.00	-0.012	0.009	0.466	0.138
482.00	-0.012	0.009	0.477	0.139
481.00	-0.012	0.009	0.488	0.140
480.00	-0.012	0.010	0.499	0.141
479.00	-0.012	0.010	0.510	0.141
478.00	-0.012	0.010	0.522	0.142
477.00	-0.012	0.010	0.534	0.143
476.00	-0.012	0.011	0.546	0.144
475.00	-0.012	0.011	0.559	0.146
474.00	-0.012	0.011	0.572	0.147
473.00	-0.012	0.011	0.585	0.148
472.00	-0.012	0.012	0.599	0.149
471.00	-0.012	0.012	0.613	0.150
470.00	-0.012	0.012	0.628	0.152
469.00	-0.012	0.013	0.643	0.153
468.00	-0.012	0.013	0.658	0.155
467.00	-0.012	0.013	0.674	0.157
466.00	-0.012	0.014	0.691	0.158
465.00	-0.012	0.014	0.708	0.160
464.00	-0.012	0.015	0.724	0.162
463.00	-0.012	0.015	0.742	0.164
462.00	-0.012	0.016	0.760	0.166
461.00	-0.011	0.017	0.779	0.168
460.00	-0.012	0.017	0.796	0.171
459.00	-0.012	0.018	0.815	0.172
458.00	-0.011	0.018	0.834	0.175
457.00	-0.011	0.019	0.852	0.177
456.00	-0.011	0.019	0.873	0.180
455.00	-0.011	0.020	0.891	0.182
454.00	-0.011	0.021	0.913	0.185
453.00	-0.011	0.021	0.932	0.187
452.00	-0.011	0.022	0.953	0.190
451.00	-0.010	0.023	0.975	0.193
450.00	-0.011	0.023	0.996	0.196
449.00	-0.010	0.024	1.018	0.199
448.00	-0.010	0.025	1.041	0.202
447.00	-0.010	0.026	1.061	0.204
446.00	-0.010	0.027	1.086	0.208
445.00	-0.009	0.027	1.110	0.211
444.00	-0.009	0.028	1.135	0.214
443.00	-0.009	0.029	1.160	0.217
442.00	-0.009	0.030	1.183	0.221
441.00	-0.009	0.031	1.207	0.224
440.00	-0.008	0.033	1.236	0.229
439.00	-0.008	0.034	1.262	0.232
438.00	-0.008	0.035	1.287	0.236
437.00	-0.007	0.037	1.318	0.241
436.00	-0.007	0.038	1.346	0.245
435.00	-0.006	0.039	1.378	0.249
434.00	-0.006	0.041	1.406	0.254
433.00	-0.006	0.042	1.439	0.258
432.00	-0.005	0.044	1.464	0.262
431.00	-0.005	0.045	1.494	0.267
430.00	-0.004	0.048	1.528	0.272
429.00	-0.003	0.050	1.565	0.277
428.00	-0.003	0.052	1.598	0.281
427.00	-0.002	0.054	1.625	0.286
426.00	-0.001	0.057	1.654	0.290
425.00	0.001	0.060	1.704	0.296
424.00	0.002	0.063	1.731	0.301
423.00	0.004	0.066	1.777	0.306
422.00	0.005	0.069	1.811	0.311
421.00	0.007	0.073	1.865	0.316
420.00	0.010	0.077	1.886	0.320
419.00	0.012	0.082	1.922	0.326
418.00	0.016	0.087	1.989	0.331
417.00	0.021	0.093	2.030	0.337
416.00	0.026	0.101	2.076	0.344
415.00	0.031	0.108	2.140	0.349
414.00	0.037	0.117	2.248	0.354
413.00	0.044	0.125	2.249	0.359
412.00	0.053	0.135	2.401	0.364
411.00	0.063	0.147	2.408	0.370
410.00	0.075	0.160	2.479	0.375
409.00	0.087	0.175	2.541	0.379
408.00	0.101	0.191	2.495	0.385
407.00	0.117	0.210	2.503	0.389
406.00	0.137	0.231	2.505	0.397
405.00	0.157	0.252	2.984	0.402
404.00	0.180	0.275	2.779	0.407
403.00	0.205	0.303	2.745	0.412
402.00	0.232	0.332	3.002	0.418
401.00	0.264	0.366	3.667	0.423
400.00	0.298	0.401	2.795	0.431
399.00	0.335	0.439	2.943	0.435
398.00	0.376	0.481	3.032	0.442
397.00	0.422	0.527	3.134	0.449
396.00	0.468	0.578	3.555	0.456
395.00	0.519	0.630	3.559	0.463
394.00	0.581	0.686	3.288	0.471
393.00	0.643	0.752	3.179	0.477
392.00	0.706	0.816	3.312	0.484
391.00	0.778	0.887	3.117	0.491
390.00	0.855	0.965	2.977	0.500
389.00	0.937	1.047	3.364	0.511
388.00	1.020	1.127	3.233	0.519
387.00	1.106	1.223	2.818	0.529
386.00	1.182	1.297	3.096	0.538
385.00	1.281	1.394	3.676	0.550
384.00	1.373	1.489	3.485	0.561
383.00	1.460	1.574	3.369	0.571
382.00	1.535	1.670	3.640	0.584
381.00	1.645	1.767	3.017	0.598
380.00	1.703	1.865	2.742	0.610
379.00	1.805	1.950	2.901	0.624
378.00	1.879	1.973	2.774	0.640
377.00	1.983	2.062	2.558	0.656
376.00	2.052	2.186	3.455	0.672
375.00	2.102	2.221	2.656	0.690
374.00	2.093	2.324	2.676	0.711
373.00	2.227	2.063	3.067	0.736
372.00	2.870	2.269	2.978	0.756
371.00	2.729	2.426	2.899	0.782
370.00	2.188	2.998	2.517	0.804
